"id","label","marksize","visible","z","lat","lon"
"35.287_47.442","[[Vasylivka]]","10","TRUE",99,"47.442","35.287"
"35.433_47.940","[[Vilniansk]]","10","TRUE",99,"47.940","35.433"
"34.909_47.019","[[Vesele, Zaporizhzhia |Vesele]]","8","TRUE",99,"47.019","34.909"
"35.165_46.698","[[Yakymivka]]","10","TRUE",99,"46.698","35.165"
"35.140_47.839","[[Zaporizhzhia]]","24","TRUE",99,"47.839","35.140"
"33.140_50.840","[[Talalaivka]]","6","TRUE",99,"50.840","33.140"
"34.586_47.512","[[Zaporizhzhia Nuclear Power Plant]]","12","TRUE",99,"47.512","34.586"
"31.471_49.766","[[Kaniv Hydroelectric Power Plant]]","10","TRUE",99,"49.766","31.471"
"33.250_49.077","[[Kremenchuk Hydroelectric Power Plant]]","10","TRUE",99,"49.077","33.250"
"35.086_47.869","[[Dnieper Hydroelectric Station]]","8","TRUE",99,"47.869","35.086"
"33.872_46.457","[[Askania-Nova (urban-type settlement)|Askania-Nova]]","6","TRUE",99,"46.457","33.872"
"33.427_46.843","[[Beryslav]]","10","TRUE",99,"46.843","33.427"
"32.441_46.627","[[Bilozerka]]","8","TRUE",99,"46.627","32.441"
"32.520_46.521","[[Hola Prystan]]","10","TRUE",99,"46.521","32.520"
"33.490_46.812","[[Kakhovka]]","12","TRUE",99,"46.812","33.490"
"32.504_46.627","[[Komyshany]]","8","TRUE",99,"46.627","32.504"
"33.570_46.807","[[Liubymivka]]","8","TRUE",99,"46.807","33.570"
"34.641_46.225","[[Novooleksiivka]]","10","TRUE",99,"46.225","34.641"
"32.707_46.620","[[Oleshky]]","12","TRUE",99,"46.620","32.707"
"33.422_46.753","[[Tavriisk]]","10","TRUE",99,"46.753","33.422"
"32.638_46.715","[[Zelenivka, Kherson |Zelenivka]]","8","TRUE",99,"46.715","32.638"
"31.316_47.912","[[Arbuzynka]]","8","TRUE",99,"47.912","31.316"
"31.441_47.410","[[Bashtanka]]","10","TRUE",99,"47.410","31.441"
"32.849_47.310","[[Bereznehuvate]]","8","TRUE",99,"47.310","32.849"
"31.577_47.868","[[Bratske]]","8","TRUE",99,"47.868","31.577"
"30.990_47.628","[[Domanivka]]","8","TRUE",99,"47.628","30.990"
"32.834_47.834","[[Kazanka, Ukraine|Kazanka]]","8","TRUE",99,"47.834","32.834"
"30.341_47.947","[[Kryve Ozero]]","8","TRUE",99,"47.947","30.341"
"31.995_46.975","[[Mykolaiv]]","20","TRUE",99,"46.975","31.995"
"31.788_47.309","[[Nova Odesa]]","10","TRUE",99,"47.309","31.788"
"32.504_47.697","[[Novyi Buh]]","10","TRUE",99,"47.697","32.504"
"31.539_46.619","[[Ochakiv]]","10","TRUE",99,"46.619","31.539"
"31.276_47.691","[[Oleksandrivka, Mykolaiv |Oleksandrivka]]","8","TRUE",99,"47.691","31.276"
"30.888_48.045","[[Pervomaisk, Mykolaiv |Pervomaisk]]","14","TRUE",99,"48.045","30.888"
"32.806_47.075","[[Snihurivka]]","10","TRUE",99,"47.075","32.806"
"31.238_47.356","[[Veselynove]]","8","TRUE",99,"47.356","31.238"
"31.336_47.561","[[Voznesensk]]","12","TRUE",99,"47.561","31.336"
"30.591_47.866","[[Vradiivka]]","8","TRUE",99,"47.866","30.591"
"31.184_47.823","[[Yuzhnoukrainsk]]","12","TRUE",99,"47.823","31.184"
"38.787_48.751","Krymske, Novoaidar Raion","6","TRUE",99,"48.751","38.787"
"35.315_47.866","[[Zaporizhzhia International Airport]]","16","TRUE",99,"47.866","35.315"
"29.022_50.031","[[Andrushivka]]","8","TRUE",99,"50.031","29.022"
"27.669_50.292","[[Baranivka ()|Baranivka]]","10","TRUE",99,"50.292","27.669"
"28.590_49.911","[[Berdychiv]]","14","TRUE",99,"49.911","28.590"
"28.674_50.454","[[Cherniakhiv, Zhytomyr |Cherniakhiv]]","8","TRUE",99,"50.454","28.674"
"28.118_50.056","[[Chudniv]]","8","TRUE",99,"50.056","28.118"
"27.317_50.811","[[Horodnytsia (urban-type settlement)|Horodnytsia]]","8","TRUE",99,"50.811","27.317"
"28.721_50.749","[[Irshansk]]","8","TRUE",99,"50.749","28.721"
"28.447_50.593","[[Khoroshiv]]","8","TRUE",99,"50.593","28.447"
"28.646_50.953","[[Korosten]]","14","TRUE",99,"50.953","28.646"
"29.054_50.317","[[Korostyshiv]]","12","TRUE",99,"50.317","29.054"
"29.261_50.770","[[Malyn]]","12","TRUE",99,"50.770","29.261"
"28.638_50.692","[[Nova Borova]]","8","TRUE",99,"50.692","28.638"
"27.636_50.586","[[Novohrad-Volynskyi]]","14","TRUE",99,"50.586","27.636"
"28.677_50.197","[[Novohuivynske]]","8","TRUE",99,"50.197","28.677"
"27.644_51.221","[[Olevsk]]","10","TRUE",99,"51.221","27.644"
"28.803_51.327","[[Ovruch]]","10","TRUE",99,"51.327","28.803"
"28.736_50.180","[[Ozerne, Zhytomyr |Ozerne]]","8","TRUE",99,"50.180","28.736"
"29.450_49.961","Popilnia","8","TRUE",99,"49.961","29.450"
"28.261_50.471","[[Pulyny]]","8","TRUE",99,"50.471","28.261"
"29.234_50.497","[[Radomyshl]]","10","TRUE",99,"50.497","29.234"
"27.935_50.154","[[Romaniv]]","8","TRUE",99,"50.154","27.935"
"27.804_50.875","[[Yemilchyne]]","8","TRUE",99,"50.875","27.804"
"28.659_50.255","[[Zhytomyr]]","20","TRUE",99,"50.255","28.659"
"32.502_46.668","[[Kherson International Airport]]","12","TRUE",99,"46.668","32.502"
"30.050_51.410","[[Pripyat]]","10","TRUE",99,"51.410","30.050"
"25.166_50.133","[[Brody Air Base]]","10","TRUE",99,"50.133","25.166"
"23.956_49.812","[[Lviv International Airport]]","12","TRUE",99,"49.812","23.956"
"32.096_46.941","[[Kulbakino Air Base]]","10","TRUE",99,"46.941","32.096"
"31.920_47.058","[[Mykolaiv International Airport]]","12","TRUE",99,"47.058","31.920"
"30.678_46.426","[[Odesa International Airport]]","12","TRUE",99,"46.426","30.678"
"30.744_46.503","[[Port of Odessa]]","12","TRUE",99,"46.503","30.744"
"28.738_50.158","[[Ozerne Air Base]]","10","TRUE",99,"50.158","28.738"
"34.398_44.667","[[Alushta]]","10","TRUE",99,"44.667","34.398"
"33.691_46.115","[[Armiansk]]","12","TRUE",99,"46.115","33.691"
"33.861_44.753","[[Bakhchysarai]]","12","TRUE",99,"44.753","33.861"
"34.602_45.054","[[Bilohirsk]]","10","TRUE",99,"45.054","34.602"
"32.702_45.502","[[Chornomorske]]","10","TRUE",99,"45.502","32.702"
"35.367_46.833","[[Drofino]]","6","TRUE",99,"46.833","35.367"
"34.393_45.709","[[Dzhankoi]]","12","TRUE",99,"45.709","34.393"
"35.379_45.049","[[Feodosia]]","14","TRUE",99,"45.049","35.379"
"33.600_44.600","[[Inkerman]]","10","TRUE",99,"44.600","33.600"
"36.401_45.372","[[Kerch Airport]]","10","TRUE",99,"45.372","36.401"
"35.205_45.224","[[Kirovske, Crimea|Kirovske]]","8","TRUE",99,"45.224","35.205"
"35.241_44.960","[[Koktebel]]","6","TRUE",99,"44.960","35.241"
"34.295_45.495","[[Krasnohvardiiske]]","10","TRUE",99,"45.495","34.295"
"35.075_44.924","[[Krasnokamianka (village)|Krasnokamianka]]","6","TRUE",99,"44.924","35.075"
"33.800_45.967","[[Krasnoperekopsk]]","12","TRUE",99,"45.967","33.800"
"35.774_45.298","[[Lenine, Crimea|Lenine]]","8","TRUE",99,"45.298","35.774"
"33.034_45.308","[[Myrnyi]]","6","TRUE",99,"45.308","33.034"
"33.595_45.093","[[Novofedorivka]]","8","TRUE",99,"45.093","33.595"
"33.118_45.386","[[Novoozerne]]","6","TRUE",99,"45.386","33.118"
"33.599_45.442","[[Novoselivske]]","6","TRUE",99,"45.442","33.599"
"34.913_44.829","[[Novyi Svit]]","6","TRUE",99,"44.829","34.913"
"34.741_45.444","[[Nyzhnohirskyi]]","8","TRUE",99,"45.444","34.741"
"34.127_45.291","[[Oktiabrske]]","10","TRUE",99,"45.291","34.127"
"34.340_44.576","[[Partenit]]","8","TRUE",99,"44.576","34.340"
"33.693_46.162","[[Perekop]]","6","TRUE",99,"46.162","33.693"
"33.858_45.716","[[Pervomaiske]]","8","TRUE",99,"45.716","33.858"
"35.481_45.117","[[Prymorskyi]]","6","TRUE",99,"45.117","35.481"
"33.488_45.770","[[Rozdolne]]","8","TRUE",99,"45.770","33.488"
"33.577_45.134","[[Saky]]","12","TRUE",99,"45.134","33.577"
"33.583_44.683","[[Sevastopol International Airport]]","12","TRUE",99,"44.683","33.583"
"34.933_45.347","[[Sovietskyi]]","10","TRUE",99,"45.347","34.933"
"33.974_45.052","[[Simferopol International Airport]]","12","TRUE",99,"45.052","33.974"
"35.089_45.029","[[Staryi Krym]]","8","TRUE",99,"45.029","35.089"
"34.972_44.851","[[Sudak]]","10","TRUE",99,"44.851","34.972"
"33.377_45.226","[[Yevpatoria Airport]]","10","TRUE",99,"45.226","33.377"
"34.061_44.919","[[Zavodskoe Airport]]","10","TRUE",99,"44.919","34.061"
"33.285_45.161","[[Zaozerne]]","6","TRUE",99,"45.161","33.285"
"31.317_51.550","[[Chernihiv Air Base]]","10","TRUE",99,"51.550","31.317"
"31.650_51.883","[[Horodnia Air Base]]","10","TRUE",99,"51.883","31.650"
"31.867_51.100","[[Nizhyn Air Base]]","12","TRUE",99,"51.100","31.867"
"32.317_50.567","[[Pryluky Air Base]]","12","TRUE",99,"50.567","32.317"
"37.634_48.767","[[Bilenke (urban-type settlement)|Bilenke]]","8","TRUE",99,"48.767","37.634"
"37.187_48.406","[[Bilytske]]","8","TRUE",99,"48.406","37.187"
"37.500_48.840","Bylbasivka","8","TRUE",99,"48.840","37.500"
"38.075_48.403","[[Holmivskyi]]","8","TRUE",99,"48.403","38.075"
"37.309_47.060","[[Manhush, Donetsk |Manhush]]","8","TRUE",99,"47.060","37.309"
"37.504_47.942","[[Marinka, Ukraine|Marinka]]","8","TRUE",99,"47.942","37.504"
"37.505_47.056","[[Port of Mariupol]]","12","TRUE",99,"47.056","37.505"
